  0.000,   0.000
  1.000,   0.000
  1.000,   0.000
  2.010,   0.000
  2.010,   0.000
  3.020,   0.000
  3.020,   0.000
  4.030,   0.000
  4.030,   0.000
  5.030,   0.000
  5.030,   0.000
  6.040,   0.000
  6.040,   0.000
  7.050,   0.000
  7.050,   0.000
  8.050,   0.000
  8.050,   0.000
  9.050,   0.000
  9.050,   0.000
 10.060,   0.000
 10.060,   0.010
 11.070,   0.010
 11.070,   0.000
 12.070,   0.000
 12.070,   0.010
 13.070,   0.010
 13.070,   0.030
 14.070,   0.030
 14.070,   0.010
 15.080,   0.010
 15.080,   0.951
 16.900,   0.951
 16.900,   0.970
 17.900,   0.970
 17.900,   0.942
 18.930,   0.942
 18.930,   0.833
 19.940,   0.833
 19.940,   0.981
 21.000,   0.981
 21.000,   0.978
 22.770,   0.978
 22.770,   0.978
 24.550,   0.978
 24.550,   0.978
 27.260,   0.978
 27.260,   0.998
 29.000, 1.000e+00
 30.000, 1.000e+00
 31.000, 1.000e+00
 32.000, 1.000e+00
 33.000, 1.000e+00
 34.000, 1.000e+00
 35.000, 1.000e+00
 36.000, 1.000e+00
 37.000, 1.000e+00
 38.000, 1.000e+00
 39.000, 1.000e+00
 40.000, 1.000e+00
 41.000, 1.000e+00
 42.000, 1.000e+00
 43.000, 1.000e+00
 44.000, 1.000e+00
 45.000, 1.000e+00
 46.000, 1.000e+00
 47.000, 1.000e+00
 48.000, 1.000e+00
 49.000, 1.000e+00
 50.000, 1.000e+00
 51.000, 1.000e+00
 52.000, 1.000e+00
 53.000, 1.000e+00
 54.000, 1.000e+00
 55.000, 1.000e+00

 56.187,   0.998
 56.187,   0.000
 57.195,   0.000
 57.195,   0.000
 58.200,   0.000
 58.200,   0.000
 59.210,   0.000
 59.210, 0.000e+00
 59.980, 0.000e+00
